manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
BMW,중형,M3,3.0 I6,2979,450,8.4,10.7,11640,가솔린,1645,세단,nonkor
BMW,준대형,5시리즈,520i,1998,184,,,6330,가솔린,1615,세단,nonkor
BMW,준대형,5시리즈,520d,1995,190,12.8,16,6750,디젤,1710,세단,nonkor
BMW,준대형,5시리즈,520d xDrive,1995,190,12.8,16,7100,디젤,1770,세단,nonkor
BMW,준대형,5시리즈,530i,1998,252,,,7110,가솔린,1695,세단,nonkor
BMW,준대형,5시리즈,530i xDrive,1998,252,9.8,13.4,7470,가솔린,1740,세단,nonkor
BMW,준대형,5시리즈,530d,2993,265,12,15.9,8500,디젤,1845,세단,nonkor
BMW,준대형,5시리즈,540i xDrive,2998,340,8.8,12.8,9610,가솔린,1850,세단,nonkor
BMW,준대형,5시리즈,M550d xDrive,2993,400,12,15.9,12220,디젤,1960,세단,nonkor
닛산,중형,알티마,2.5 가솔린,2488,184,10.8,14.6,2960,가솔린,1470,세단,nonkor
닛산,중형,알티마,2.0 가솔린,1997,252,11.1,16,4140,가솔린,1555,세단,nonkor
닛산,준대형,맥시마,3.5 가솔린,3498,303,8.5,12.4,4430,가솔린,1645,세단,nonkor
렉서스,대형,LS 하이브리드,LS 500h,3456,299,11,12.3,14920,하이브리드,2295,세단,nonkor
렉서스,대형,LS 하이브리드,LS 500h AWD,3456,299,9.8,11.9,15520,하이브리드,2370,세단,nonkor
렉서스,대형,LS,LS 500,3445,422,7.3,11.9,12460,가솔린,2170,세단,nonkor
렉서스,대형,LS,LS 500 AWD,3445,422,6.7,10.7,13340,가솔린,2330,세단,nonkor
렉서스,중형,IS F 스포츠,IS F 스포츠 300,1998,245,8.7,12.9,5800,가솔린,1670,세단,nonkor
렉서스,중형,IS,IS 300,1998,245,8.7,12.9,4720,가솔린,1670,세단,nonkor
렉서스,준대형,ES 하이브리드,ES 300h,2487,178,17.1,17,5710,하이브리드,1715,세단,nonkor
링컨,준대형,MKZ 하이브리드,2.0 HEV,1999,141,16.5,16.1,4900,하이브리드,1775,세단,nonkor
링컨,준대형,MKZ,2.0 가솔린,1999,231,8.4,13.1,5740,가솔린,1770,세단,nonkor
링컨,준대형,MKZ,2.0 가솔린 AWD,1999,231,8,12.5,5940,가솔린,1840,세단,nonkor
마세라티,대형,콰트로포르테,콰트로포르테,2979,350,,,15790,가솔린,2030,세단,nonkor
마세라티,대형,콰트로포르테,콰트로포르테 S Q4,2979,430,,,18060,가솔린,2090,세단,nonkor
마세라티,대형,콰트로포르테,콰트로포르테 GTS,3799,530,,,23190,가솔린,2040,세단,nonkor
마세라티,준대형,기블리,기블리,2979,350,6.7,10,11640,가솔린,2000,세단,nonkor
마세라티,준대형,기블리,기블리 S Q4,2979,430,6.2,9.5,13120,가솔린,2070,세단,nonkor
메르세데스-벤츠,대형,S클래스,S 350 Long,2996,313,,,14700,가솔린,2130,세단,nonkor
메르세데스-벤츠,대형,S클래스,S 450 4MATIC Long,2996,367,,,16680,가솔린,2180,세단,nonkor
메르세데스-벤츠,대형,S클래스,S 560 4MATIC Long,3982,469,7.1,10.8,20240,가솔린,2275,세단,nonkor
메르세데스-벤츠,대형,마이바흐 S클래스,S 560 4MATIC,3982,469,6.9,10.3,24090,가솔린,2345,세단,nonkor
메르세데스-벤츠,대형,마이바흐 S클래스,S 650,5980,630,,,31540,가솔린,2400,세단,nonkor
